date,geoRegion,sex,entries,type_variant,pop,sumTotal,per100Persons,per100PersonsTotal,type,version,granularity,freq,prct
202113,AG,male,7492,sex,348814,58802,2.15,16.86,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.477,47.699999999999996
202114,AG,male,9772,sex,348814,68574,2.8,19.66,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.468,46.800000000000004
202115,AG,male,10931,sex,348814,79505,3.13,22.79,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.434,43.4
202116,AG,male,14567,sex,348814,94072,4.18,26.97,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.487,48.699999999999996
202117,AG,male,11928,sex,348814,106000,3.42,30.39,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.478,47.8
202118,AG,male,16991,sex,348814,122991,4.87,35.26,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.489,48.9
202119,AG,male,14712,sex,348814,137703,4.22,39.48,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.45,45
202120,AG,male,18497,sex,348814,156200,5.3,44.78,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.48,48
202121,AG,male,20642,sex,348814,176842,5.92,50.7,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.504,50.4
202122,AG,male,26647,sex,348814,203489,7.64,58.34,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.52,52
202123,AG,male,25891,sex,348814,229380,7.42,65.76,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.52,52
202124,AG,male,22412,sex,348814,251792,6.43,72.19,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.53,53
202125,AG,male,18825,sex,348814,270617,5.4,77.58,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.523,52.300000000000004
202126,AG,male,18617,sex,348814,289234,5.34,82.92,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.533,53.300000000000004
202127,AG,male,19386,sex,348814,308620,5.56,88.48,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.542,54.2
202128,AG,male,16290,sex,348814,324910,4.67,93.15,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.553,55.300000000000004
202129,AG,male,10232,sex,348814,335142,2.93,96.08,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.535,53.5
202130,AG,male,7666,sex,348814,342808,2.2,98.28,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.521,52.1
202131,AG,male,6557,sex,348814,349365,1.88,100.16,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.512,51.2
202132,AG,male,5780,sex,348814,355145,1.66,101.82,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.516,51.6
202133,AG,male,6076,sex,348814,361221,1.74,103.56,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.503,50.3
202134,AG,male,7580,sex,348814,368801,2.17,105.73,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.503,50.3
202135,AG,male,7540,sex,348814,376341,2.16,107.89,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.508,50.8
202136,AG,male,9017,sex,348814,385358,2.59,110.48,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.522,52.2
202137,AG,male,10171,sex,348814,395529,2.92,113.39,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.525,52.5
202138,AG,male,8224,sex,348814,403753,2.36,115.75,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.505,50.5
202139,AG,male,7480,sex,348814,411233,2.14,117.89,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.511,51.1
202140,AG,male,7104,sex,348814,418337,2.04,119.93,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.523,52.300000000000004
202141,AG,male,7240,sex,348814,425577,2.08,122.01,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.524,52.400000000000006
202142,AG,male,5635,sex,348814,431212,1.62,123.62,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.523,52.300000000000004
202143,AG,male,4287,sex,348814,435499,1.23,124.85,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.519,51.9
202144,AG,male,3217,sex,348814,438716,0.92,125.77,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.543,54.300000000000004
202145,AG,male,3760,sex,348814,442476,1.08,126.85,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.496,49.6
202146,AG,male,12188,sex,348814,454664,3.49,130.35,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.501,50.1
202052,AG,female,1,sex,345258,1,0,0,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,1,100
202053,AG,female,168,sex,345258,169,0.05,0.05,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.68,68
202101,AG,female,1332,sex,345258,1501,0.39,0.43,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.528,52.800000000000004
202102,AG,female,1954,sex,345258,3455,0.57,1,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.558,55.800000000000004
202103,AG,female,3364,sex,345258,6819,0.97,1.98,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.545,54.50000000000001
202104,AG,female,3689,sex,345258,10508,1.07,3.04,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.583,58.3
202105,AG,female,5136,sex,345258,15644,1.49,4.53,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.593,59.3
202106,AG,female,4434,sex,345258,20078,1.28,5.82,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.575,57.49999999999999
202107,AG,female,6081,sex,345258,26159,1.76,7.58,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.547,54.7
202108,AG,female,8325,sex,345258,34484,2.41,9.99,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.559,55.900000000000006
202109,AG,female,7746,sex,345258,42230,2.24,12.23,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.564,56.39999999999999
202110,AG,female,7537,sex,345258,49767,2.18,14.41,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.554,55.400000000000006
202111,AG,female,5762,sex,345258,55529,1.67,16.08,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.545,54.50000000000001
202112,AG,female,8679,sex,345258,64208,2.51,18.6,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.528,52.800000000000004
202113,AG,female,8220,sex,345258,72428,2.38,20.98,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.523,52.300000000000004
202114,AG,female,11118,sex,345258,83546,3.22,24.2,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.532,53.2
202115,AG,female,14251,sex,345258,97797,4.13,28.33,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.566,56.599999999999994
202116,AG,female,15347,sex,345258,113144,4.45,32.77,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.513,51.300000000000004
202117,AG,female,13025,sex,345258,126169,3.77,36.54,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.522,52.2
202118,AG,female,17731,sex,345258,143900,5.14,41.68,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.511,51.1
202119,AG,female,17989,sex,345258,161889,5.21,46.89,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.55,55.00000000000001
202120,AG,female,20058,sex,345258,181947,5.81,52.7,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.52,52
202121,AG,female,20272,sex,345258,202219,5.87,58.57,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.495,49.5
202122,AG,female,24634,sex,345258,226853,7.13,65.71,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.48,48
202123,AG,female,23933,sex,345258,250786,6.93,72.64,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.48,48
202124,AG,female,19884,sex,345258,270670,5.76,78.4,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.47,47
202125,AG,female,17138,sex,345258,287808,4.96,83.36,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.477,47.699999999999996
202126,AG,female,16325,sex,345258,304133,4.73,88.09,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.467,46.7
202127,AG,female,16357,sex,345258,320490,4.74,92.83,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.458,45.800000000000004
202128,AG,female,13158,sex,345258,333648,3.81,96.64,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.447,44.7
202129,AG,female,8879,sex,345258,342527,2.57,99.21,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.465,46.5
202130,AG,female,7049,sex,345258,349576,2.04,101.25,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.479,47.9
202131,AG,female,6253,sex,345258,355829,1.81,103.06,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.488,48.8
202132,AG,female,5414,sex,345258,361243,1.57,104.63,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.484,48.4
202133,AG,female,6008,sex,345258,367251,1.74,106.37,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.497,49.7
202134,AG,female,7482,sex,345258,374733,2.17,108.54,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.497,49.7
202135,AG,female,7295,sex,345258,382028,2.11,110.65,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.492,49.2
202136,AG,female,8264,sex,345258,390292,2.39,113.04,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.478,47.8
202137,AG,female,9217,sex,345258,399509,2.67,115.71,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.475,47.5
202138,AG,female,8076,sex,345258,407585,2.34,118.05,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.495,49.5
202139,AG,female,7169,sex,345258,414754,2.08,120.13,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.489,48.9
202140,AG,female,6481,sex,345258,421235,1.88,122.01,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.477,47.699999999999996
202141,AG,female,6573,sex,345258,427808,1.9,123.91,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.476,47.599999999999994
202142,AG,female,5139,sex,345258,432947,1.49,125.4,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.477,47.699999999999996
202143,AG,female,3972,sex,345258,436919,1.15,126.55,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.481,48.1
202144,AG,female,2710,sex,345258,439629,0.78,127.33,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.457,45.7
202145,AG,female,3818,sex,345258,443447,1.11,128.44,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.504,50.4
202146,AG,female,12140,sex,345258,455587,3.52,131.96,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.499,49.9
202052,AG,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202053,AG,unknown,0,sex,NA,0,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202101,AG,unknown,1,sex,NA,1,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202102,AG,unknown,1,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202103,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202104,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202105,AG,unknown,0,sex,NA,2,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202106,AG,unknown,1,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202107,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202108,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202109,AG,unknown,0,sex,NA,3,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202110,AG,unknown,1,sex,NA,4,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202111,AG,unknown,0,sex,NA,4,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202112,AG,unknown,1,sex,NA,5,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202113,AG,unknown,0,sex,NA,5,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202114,AG,unknown,1,sex,NA,6,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202115,AG,unknown,0,sex,NA,6,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202116,AG,unknown,1,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202117,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202118,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202119,AG,unknown,0,sex,NA,7,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202120,AG,unknown,1,sex,NA,8,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202121,AG,unknown,3,sex,NA,11,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202122,AG,unknown,0,sex,NA,11,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202123,AG,unknown,0,sex,NA,11,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202124,AG,unknown,1,sex,NA,12,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202125,AG,unknown,3,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202126,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202127,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202128,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202129,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202130,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202131,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202132,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202133,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202134,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202135,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202136,AG,unknown,0,sex,NA,15,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202137,AG,unknown,3,sex,NA,18,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202138,AG,unknown,0,sex,NA,18,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202139,AG,unknown,0,sex,NA,18,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202140,AG,unknown,0,sex,NA,18,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202141,AG,unknown,1,sex,NA,19,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202142,AG,unknown,0,sex,NA,19,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202143,AG,unknown,0,sex,NA,19,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202144,AG,unknown,0,sex,NA,19,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202145,AG,unknown,0,sex,NA,19,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202146,AG,unknown,0,sex,NA,19,NA,NA,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0,0
202052,AI,male,10,sex,8361,10,0.12,0.12,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.222,22.2
202053,AI,male,0,sex,8361,10,0,0.12,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,NA,NA
202101,AI,male,180,sex,8361,190,2.15,2.27,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.511,51.1
202102,AI,male,95,sex,8361,285,1.14,3.41,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.49,49
202103,AI,male,177,sex,8361,462,2.12,5.53,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.494,49.4
202104,AI,male,68,sex,8361,530,0.81,6.34,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.391,39.1
202105,AI,male,166,sex,8361,696,1.99,8.32,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.512,51.2
202106,AI,male,141,sex,8361,837,1.69,10.01,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.476,47.599999999999994
202107,AI,male,197,sex,8361,1034,2.36,12.37,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.488,48.8
202108,AI,male,52,sex,8361,1086,0.62,12.99,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.481,48.1
202109,AI,male,35,sex,8361,1121,0.42,13.41,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.467,46.7
202110,AI,male,48,sex,8361,1169,0.57,13.98,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.449,44.9
202111,AI,male,9,sex,8361,1178,0.11,14.09,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.375,37.5
202112,AI,male,135,sex,8361,1313,1.61,15.7,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.402,40.2
202113,AI,male,318,sex,8361,1631,3.8,19.51,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.483,48.3
202114,AI,male,152,sex,8361,1783,1.82,21.33,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.483,48.3
202115,AI,male,52,sex,8361,1835,0.62,21.95,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.495,49.5
202116,AI,male,311,sex,8361,2146,3.72,25.67,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.481,48.1
202117,AI,male,534,sex,8361,2680,6.39,32.05,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.485,48.5
202118,AI,male,345,sex,8361,3025,4.13,36.18,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.492,49.2
202119,AI,male,259,sex,8361,3284,3.1,39.28,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.522,52.2
202120,AI,male,406,sex,8361,3690,4.86,44.13,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.516,51.6
202121,AI,male,621,sex,8361,4311,7.43,51.56,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.528,52.800000000000004
202122,AI,male,612,sex,8361,4923,7.32,58.88,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.528,52.800000000000004
202123,AI,male,371,sex,8361,5294,4.44,63.32,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.538,53.800000000000004
202124,AI,male,242,sex,8361,5536,2.89,66.21,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.515,51.5
202125,AI,male,422,sex,8361,5958,5.05,71.26,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.552,55.2
202126,AI,male,442,sex,8361,6400,5.29,76.55,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.536,53.6
202127,AI,male,204,sex,8361,6604,2.44,78.99,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.576,57.599999999999994
202128,AI,male,115,sex,8361,6719,1.38,80.36,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.5,50
202129,AI,male,75,sex,8361,6794,0.9,81.26,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.56,56.00000000000001
202130,AI,male,83,sex,8361,6877,0.99,82.25,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.557,55.7
202131,AI,male,90,sex,8361,6967,1.08,83.33,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.562,56.2
202132,AI,male,99,sex,8361,7066,1.18,84.51,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.544,54.400000000000006
202133,AI,male,94,sex,8361,7160,1.12,85.64,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.516,51.6
202134,AI,male,165,sex,8361,7325,1.97,87.61,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.506,50.6
202135,AI,male,164,sex,8361,7489,1.96,89.57,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.511,51.1
202136,AI,male,168,sex,8361,7657,2.01,91.58,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.533,53.300000000000004
202137,AI,male,272,sex,8361,7929,3.25,94.83,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.523,52.300000000000004
202138,AI,male,158,sex,8361,8087,1.89,96.72,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.498,49.8
202139,AI,male,161,sex,8361,8248,1.93,98.65,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.478,47.8
202140,AI,male,163,sex,8361,8411,1.95,100.6,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.529,52.900000000000006
202141,AI,male,194,sex,8361,8605,2.32,102.92,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.574,57.4
202142,AI,male,88,sex,8361,8693,1.05,103.97,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.456,45.6
202143,AI,male,77,sex,8361,8770,0.92,104.89,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.448,44.800000000000004
202144,AI,male,51,sex,8361,8821,0.61,105.5,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.526,52.6
202145,AI,male,421,sex,8361,9242,5.04,110.54,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.517,51.7
202146,AI,male,226,sex,8361,9468,2.7,113.24,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.485,48.5
202052,AI,female,35,sex,7932,35,0.44,0.44,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.778,77.8
202053,AI,female,0,sex,7932,35,0,0.44,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,NA,NA
202101,AI,female,172,sex,7932,207,2.17,2.61,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.489,48.9
202102,AI,female,99,sex,7932,306,1.25,3.86,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.51,51
202103,AI,female,181,sex,7932,487,2.28,6.14,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.506,50.6
202104,AI,female,106,sex,7932,593,1.34,7.48,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.609,60.9
202105,AI,female,158,sex,7932,751,1.99,9.47,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.488,48.8
202106,AI,female,155,sex,7932,906,1.95,11.42,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.524,52.400000000000006
202107,AI,female,207,sex,7932,1113,2.61,14.03,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.512,51.2
202108,AI,female,56,sex,7932,1169,0.71,14.74,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.519,51.9
202109,AI,female,40,sex,7932,1209,0.5,15.24,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.533,53.300000000000004
202110,AI,female,59,sex,7932,1268,0.74,15.99,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.551,55.1
202111,AI,female,15,sex,7932,1283,0.19,16.17,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.625,62.5
202112,AI,female,201,sex,7932,1484,2.53,18.71,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.598,59.8
202113,AI,female,341,sex,7932,1825,4.3,23.01,COVID19VaccDosesAdministered,2021-11-25_07-51-54,detailed,0.517,51.7
