date,geoRegion,location,entries,type_variant,pop,sumTotal,prctPopSumTotal,freq,prct,prctSumTotal,per100Persons,per100PersonsTotal,type,version,granularity
202112,AG,nursing_home,230,location,694072,19024,NA,0.014,1.4000000000000001,16.5,0.03,2.74,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202113,AG,nursing_home,226,location,694072,19250,NA,0.014,1.4000000000000001,14.7,0.03,2.77,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202114,AG,nursing_home,657,location,694072,19907,NA,0.031,3.1,13.100000000000001,0.09,2.87,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202115,AG,nursing_home,542,location,694072,20449,NA,0.022,2.1999999999999997,11.5,0.08,2.95,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202116,AG,nursing_home,2048,location,694072,22497,NA,0.068,6.800000000000001,10.9,0.3,3.24,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202117,AG,nursing_home,1101,location,694072,23598,NA,0.044,4.3999999999999995,10.2,0.16,3.4,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202118,AG,nursing_home,563,location,694072,24161,NA,0.016,1.6,9.1,0.08,3.48,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202119,AG,nursing_home,587,location,694072,24748,NA,0.018,1.7999999999999998,8.3,0.08,3.57,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202120,AG,nursing_home,2094,location,694072,26842,NA,0.054,5.4,7.9,0.3,3.87,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202121,AG,nursing_home,1156,location,694072,27998,NA,0.028,2.8000000000000003,7.3999999999999995,0.17,4.03,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202122,AG,nursing_home,432,location,694072,28430,NA,0.008,0.8,6.6000000000000005,0.06,4.1,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202123,AG,nursing_home,280,location,694072,28710,NA,0.006,0.6,6,0.04,4.14,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202124,AG,nursing_home,125,location,694072,28835,NA,0.003,0.3,5.5,0.02,4.15,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202125,AG,nursing_home,130,location,694072,28965,NA,0.004,0.4,5.2,0.02,4.17,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202126,AG,nursing_home,283,location,694072,29248,NA,0.008,0.8,4.9,0.04,4.21,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202127,AG,nursing_home,2,location,694072,29250,NA,0,0,4.7,0,4.21,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202128,AG,nursing_home,0,location,694072,29250,NA,0,0,4.3999999999999995,0,4.21,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202129,AG,nursing_home,0,location,694072,29250,NA,0,0,4.3,0,4.21,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202130,AG,nursing_home,8,location,694072,29258,NA,0.001,0.1,4.2,0,4.22,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202131,AG,nursing_home,234,location,694072,29492,NA,0.018,1.7999999999999998,4.2,0.03,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202132,AG,nursing_home,2,location,694072,29494,NA,0,0,4.1000000000000005,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202133,AG,nursing_home,1,location,694072,29495,NA,0,0,4,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202134,AG,nursing_home,0,location,694072,29495,NA,0,0,4,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202135,AG,nursing_home,0,location,694072,29495,NA,0,0,3.9,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202136,AG,nursing_home,0,location,694072,29495,NA,0,0,3.8,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202137,AG,nursing_home,0,location,694072,29495,NA,0,0,3.6999999999999997,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202138,AG,nursing_home,8,location,694072,29503,NA,0,0,3.5999999999999996,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202139,AG,nursing_home,0,location,694072,29503,NA,0,0,3.5999999999999996,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202140,AG,nursing_home,0,location,694072,29503,NA,0,0,3.5000000000000004,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202141,AG,nursing_home,0,location,694072,29503,NA,0,0,3.5000000000000004,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202142,AG,nursing_home,0,location,694072,29503,NA,0,0,3.4000000000000004,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202143,AG,nursing_home,0,location,694072,29503,NA,0,0,3.4000000000000004,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202144,AG,nursing_home,5,location,694072,29508,NA,0.001,0.1,3.4000000000000004,0,4.25,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202052,AG,medical_practice,1,location,694072,1,NA,1,100,100,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202053,AG,medical_practice,1,location,694072,2,NA,0.004,0.4,0.8,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202101,AG,medical_practice,1,location,694072,3,NA,0,0,0.1,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202102,AG,medical_practice,1,location,694072,4,NA,0,0,0.1,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202103,AG,medical_practice,2,location,694072,6,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202104,AG,medical_practice,5,location,694072,11,NA,0.001,0.1,0.1,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202105,AG,medical_practice,2,location,694072,13,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202106,AG,medical_practice,1,location,694072,14,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202107,AG,medical_practice,4,location,694072,18,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202108,AG,medical_practice,4,location,694072,22,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202109,AG,medical_practice,0,location,694072,22,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202110,AG,medical_practice,2,location,694072,24,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202111,AG,medical_practice,3,location,694072,27,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202112,AG,medical_practice,21,location,694072,48,NA,0.001,0.1,0,0,0.01,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202113,AG,medical_practice,32,location,694072,80,NA,0.002,0.2,0.1,0,0.01,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202114,AG,medical_practice,706,location,694072,786,NA,0.034,3.4000000000000004,0.5,0.1,0.11,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202115,AG,medical_practice,587,location,694072,1373,NA,0.023,2.3,0.8,0.08,0.2,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202116,AG,medical_practice,475,location,694072,1848,NA,0.016,1.6,0.8999999999999999,0.07,0.27,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202117,AG,medical_practice,594,location,694072,2442,NA,0.024,2.4,1.0999999999999999,0.09,0.35,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202118,AG,medical_practice,4543,location,694072,6985,NA,0.131,13.100000000000001,2.6,0.65,1.01,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202119,AG,medical_practice,4231,location,694072,11216,NA,0.129,12.9,3.6999999999999997,0.61,1.62,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202120,AG,medical_practice,6417,location,694072,17633,NA,0.166,16.6,5.2,0.92,2.54,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202121,AG,medical_practice,6439,location,694072,24072,NA,0.157,15.7,6.4,0.93,3.47,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202122,AG,medical_practice,6381,location,694072,30453,NA,0.124,12.4,7.1,0.92,4.39,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202123,AG,medical_practice,5259,location,694072,35712,NA,0.106,10.6,7.3999999999999995,0.76,5.15,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202124,AG,medical_practice,6215,location,694072,41927,NA,0.147,14.7,8,0.9,6.04,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202125,AG,medical_practice,6052,location,694072,47979,NA,0.168,16.8,8.6,0.87,6.91,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202126,AG,medical_practice,3881,location,694072,51860,NA,0.111,11.1,8.7,0.56,7.47,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202127,AG,medical_practice,1792,location,694072,53652,NA,0.05,5,8.5,0.26,7.73,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202128,AG,medical_practice,860,location,694072,54512,NA,0.029,2.9000000000000004,8.3,0.12,7.85,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202129,AG,medical_practice,771,location,694072,55283,NA,0.04,4,8.200000000000001,0.11,7.97,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202130,AG,medical_practice,431,location,694072,55714,NA,0.029,2.9000000000000004,8,0.06,8.03,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202131,AG,medical_practice,553,location,694072,56267,NA,0.043,4.3,8,0.08,8.11,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202132,AG,medical_practice,505,location,694072,56772,NA,0.045,4.5,7.9,0.07,8.18,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202133,AG,medical_practice,381,location,694072,57153,NA,0.032,3.2,7.8,0.05,8.23,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202134,AG,medical_practice,368,location,694072,57521,NA,0.024,2.4,7.7,0.05,8.29,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202135,AG,medical_practice,249,location,694072,57770,NA,0.017,1.7000000000000002,7.6,0.04,8.32,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202136,AG,medical_practice,284,location,694072,58054,NA,0.016,1.6,7.5,0.04,8.36,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202137,AG,medical_practice,485,location,694072,58539,NA,0.025,2.5,7.3999999999999995,0.07,8.43,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202138,AG,medical_practice,533,location,694072,59072,NA,0.033,3.3000000000000003,7.3,0.08,8.51,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202139,AG,medical_practice,323,location,694072,59395,NA,0.022,2.1999999999999997,7.199999999999999,0.05,8.56,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202140,AG,medical_practice,151,location,694072,59546,NA,0.011,1.0999999999999999,7.1,0.02,8.58,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202141,AG,medical_practice,270,location,694072,59816,NA,0.02,2,7.000000000000001,0.04,8.62,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202142,AG,medical_practice,411,location,694072,60227,NA,0.038,3.8,7.000000000000001,0.06,8.68,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202143,AG,medical_practice,228,location,694072,60455,NA,0.028,2.8000000000000003,6.9,0.03,8.71,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202144,AG,medical_practice,115,location,694072,60570,NA,0.019,1.9,6.9,0.02,8.73,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202052,AG,pharmacy,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202053,AG,pharmacy,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202101,AG,pharmacy,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202102,AG,pharmacy,0,location,694072,0,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202103,AG,pharmacy,1,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202104,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202105,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202106,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202107,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202108,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202109,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202110,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202111,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202112,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202113,AG,pharmacy,0,location,694072,1,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202114,AG,pharmacy,3,location,694072,4,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202115,AG,pharmacy,0,location,694072,4,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202116,AG,pharmacy,1,location,694072,5,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202117,AG,pharmacy,1,location,694072,6,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202118,AG,pharmacy,0,location,694072,6,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202119,AG,pharmacy,2,location,694072,8,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202120,AG,pharmacy,2,location,694072,10,NA,0,0,0,0,0,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202121,AG,pharmacy,56,location,694072,66,NA,0.001,0.1,0,0.01,0.01,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202122,AG,pharmacy,343,location,694072,409,NA,0.007,0.7000000000000001,0.1,0.05,0.06,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202123,AG,pharmacy,514,location,694072,923,NA,0.01,1,0.2,0.07,0.13,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202124,AG,pharmacy,294,location,694072,1217,NA,0.007,0.7000000000000001,0.2,0.04,0.18,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202125,AG,pharmacy,422,location,694072,1639,NA,0.012,1.2,0.3,0.06,0.24,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202126,AG,pharmacy,857,location,694072,2496,NA,0.025,2.5,0.4,0.12,0.36,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202127,AG,pharmacy,1160,location,694072,3656,NA,0.032,3.2,0.6,0.17,0.53,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202128,AG,pharmacy,892,location,694072,4548,NA,0.03,3,0.7000000000000001,0.13,0.66,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202129,AG,pharmacy,907,location,694072,5455,NA,0.047,4.7,0.8,0.13,0.79,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202130,AG,pharmacy,897,location,694072,6352,NA,0.061,6.1,0.8999999999999999,0.13,0.92,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202131,AG,pharmacy,868,location,694072,7220,NA,0.068,6.800000000000001,1,0.13,1.04,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202132,AG,pharmacy,1210,location,694072,8430,NA,0.108,10.8,1.2,0.17,1.21,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202133,AG,pharmacy,1231,location,694072,9661,NA,0.102,10.2,1.3,0.18,1.39,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202134,AG,pharmacy,1361,location,694072,11022,NA,0.09,9,1.5,0.2,1.59,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202135,AG,pharmacy,1247,location,694072,12269,NA,0.084,8.4,1.6,0.18,1.77,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202136,AG,pharmacy,1164,location,694072,13433,NA,0.067,6.7,1.7000000000000002,0.17,1.94,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202137,AG,pharmacy,1575,location,694072,15008,NA,0.081,8.1,1.9,0.23,2.16,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202138,AG,pharmacy,1629,location,694072,16637,NA,0.1,10,2.1,0.23,2.4,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202139,AG,pharmacy,1482,location,694072,18119,NA,0.101,10.100000000000001,2.1999999999999997,0.21,2.61,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202140,AG,pharmacy,962,location,694072,19081,NA,0.071,7.1,2.3,0.14,2.75,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
202141,AG,pharmacy,1234,location,694072,20315,NA,0.09,9,2.4,0.18,2.93,COVID19VaccDosesAdministered,2021-11-10_08-01-30,detailed
